model,year,price,transmission,fuelType,Make
 Q3,2018,19100,1,Petrol,audi
 A4,2017,18100,2,Petrol,audi
 A1,2017,11400,2,Petrol,audi
 A3,2014,11600,2,Diesel,audi
 A4,2017,17300,1,Diesel,audi
 A6,2017,16400,2,Diesel,audi
 Q5,2014,17100,2,Petrol,audi
 A3,2014,11498,4,Petrol,audi
 Q3,2014,11698,2,Diesel,audi
 Q5,2014,18998,4,Petrol,audi
 Q5,2017,25498,4,Petrol,audi
 A4,2013,10498,2,Petrol,audi
 A4,2013,9498,1,Petrol,audi
 A6,2015,19998,4,Diesel,audi
 A6,2015,16798,4,Diesel,audi
 A6,2017,23998,4,Diesel,audi
 Q5,2017,36998,4,Petrol,audi
 A5,2014,13998,4,Diesel,audi
 A4,2015,15995,2,Diesel,audi
 A1,2017,13495,2,Petrol,audi
 Q5,2017,30985,4,Petrol,audi
 TT,2019,29485,1,Petrol,audi
 A6,2015,16985,2,Diesel,audi
 Q5,2017,26485,4,Diesel,audi
 Q3,2018,23985,4,Petrol,audi
 A1,2017,12485,2,Diesel,audi
 Q5,2015,22485,4,Diesel,audi
 A5,2015,16498,2,Diesel,audi
 A3,2016,11998,2,Diesel,audi
 Q5,2017,24985,1,Diesel,audi
 A3,2019,17985,2,Diesel,audi
 A5,2017,20485,2,Diesel,audi
 A3,2018,16985,4,Petrol,audi
 A4,2018,30985,1,Petrol,audi
 A6,2019,29985,1,Diesel,audi
 A6,2019,27985,4,Diesel,audi
 A6,2019,30985,1,Diesel,audi
 Q7,2020,62985,4,Diesel,audi
 RS6,2016,44985,4,Petrol,audi
 A4,2019,28985,4,Petrol,audi
 A4,2019,24985,4,Petrol,audi
 A4,2019,26985,4,Petrol,audi
 A7,2019,39985,1,Diesel,audi
 A3,2019,21985,4,Petrol,audi
 A6,2019,45485,1,Diesel,audi
 Q5,2019,33985,1,Diesel,audi
 A5,2019,28985,1,Petrol,audi
 A3,2019,29985,1,Petrol,audi
 Q2,2019,28985,2,Petrol,audi
 A6,2019,31985,4,Diesel,audi
 A4,2019,29485,4,Petrol,audi
 A1,2019,17985,4,Petrol,audi
 Q2,2019,20985,1,Diesel,audi
 Q2,2019,23685,1,Diesel,audi
 A4,2019,27985,4,Petrol,audi
 Q2,2019,27985,4,Petrol,audi
